num_of_agents,items_per_agent,value_noise_ratio,alpha,algorithm,seed,success,max_overload,runtime
10,3,0.0,0.8,round_robin,0,0,inf,0.0010771809902507812
10,3,0.0,0.8,round_robin,1,0,inf,0.0002032369957305491
10,3,0.0,0.8,round_robin,2,0,inf,0.00019243000133428723
10,3,0.0,0.8,round_robin,3,0,inf,0.00021947799541521817
10,3,0.0,0.8,round_robin,4,0,inf,0.00026172200159635395
10,3,0.0,0.8,serial_dictatorship,0,0,inf,0.0002127170009771362
10,3,0.0,0.8,serial_dictatorship,1,0,inf,0.000202521012397483
10,3,0.0,0.8,serial_dictatorship,2,0,inf,0.0002721190103329718
10,3,0.0,0.8,serial_dictatorship,3,0,inf,0.00019435500144027174
10,3,0.0,0.8,serial_dictatorship,4,0,inf,0.0001765769993653521
10,3,0.0,0.8,hffd,0,1,-0.3199999999999932,0.0009549599926685914
10,3,0.0,0.8,hffd,1,1,-0.8800000000000239,0.001008908002404496
10,3,0.0,0.8,hffd,2,1,-0.3199999999999932,0.0017071220063371584
10,3,0.0,0.8,hffd,3,1,-0.44000000000001194,0.001072327999281697
10,3,0.0,0.8,hffd,4,1,-0.4399999999999977,0.0016597630019532517
10,3,0.0,1.0,round_robin,0,0,inf,0.00022847500804346055
10,3,0.0,1.0,round_robin,1,0,inf,0.0001961290108738467
10,3,0.0,1.0,round_robin,2,0,inf,0.0001767130015650764
10,3,0.0,1.0,round_robin,3,0,inf,0.0001892440050141886
10,3,0.0,1.0,round_robin,4,0,inf,0.0002586760092526674
10,3,0.0,1.0,serial_dictatorship,0,0,inf,0.00033711599826347083
10,3,0.0,1.0,serial_dictatorship,1,0,inf,0.00018634399748407304
10,3,0.0,1.0,serial_dictatorship,2,0,inf,0.0001762970059644431
10,3,0.0,1.0,serial_dictatorship,3,0,inf,0.0002045860019279644
10,3,0.0,1.0,serial_dictatorship,4,0,inf,0.00020626900368370116
10,3,0.0,1.0,hffd,0,1,-0.9000000000000057,0.0009594470029696822
10,3,0.0,1.0,hffd,1,1,-0.5999999999999943,0.0012032339873258024
10,3,0.0,1.0,hffd,2,1,-0.9000000000000057,0.0010472629946889356
10,3,0.0,1.0,hffd,3,1,-0.8000000000000114,0.0010782329918583855
10,3,0.0,1.0,hffd,4,1,-0.30000000000001137,0.0009808210015762597
10,3,0.0,1.2,round_robin,0,0,inf,0.00020742999913636595
10,3,0.0,1.2,round_robin,1,0,inf,0.00032511301105841994
10,3,0.0,1.2,round_robin,2,0,inf,0.00016938900807872415
10,3,0.0,1.2,round_robin,3,0,inf,0.000200762995518744
10,3,0.0,1.2,round_robin,4,0,inf,0.0001979469961952418
10,3,0.0,1.2,serial_dictatorship,0,0,inf,0.0001634130021557212
10,3,0.0,1.2,serial_dictatorship,1,0,inf,0.0001867989922175184
10,3,0.0,1.2,serial_dictatorship,2,0,inf,0.00021164800273254514
10,3,0.0,1.2,serial_dictatorship,3,0,inf,0.00017476400535088032
10,3,0.0,1.2,serial_dictatorship,4,0,inf,0.0001731730008032173
10,3,0.0,1.2,hffd,0,1,-0.47999999999996135,0.001101215006201528
10,3,0.0,1.2,hffd,1,1,-0.3199999999999932,0.0010916759929386899
10,3,0.0,1.2,hffd,2,1,-0.47999999999998977,0.0010761760058812797
10,3,0.0,1.2,hffd,3,1,-0.1599999999999966,0.0011852000025101006
10,3,0.0,1.2,hffd,4,1,-1.1599999999999966,0.0019415569986449555
10,3,0.3,0.8,round_robin,0,0,inf,0.00020628499623853713
10,3,0.3,0.8,round_robin,1,0,inf,0.00020530300389509648
10,3,0.3,0.8,round_robin,2,0,inf,0.00042583800677675754
10,3,0.3,0.8,round_robin,3,0,inf,0.00020283299090806395
10,3,0.3,0.8,round_robin,4,0,inf,0.00019744300516322255
10,3,0.3,0.8,serial_dictatorship,0,0,inf,0.00020280799071770161
10,3,0.3,0.8,serial_dictatorship,1,0,inf,0.00018581599579192698
10,3,0.3,0.8,serial_dictatorship,2,0,inf,0.000179484995896928
10,3,0.3,0.8,serial_dictatorship,3,0,inf,0.0002877449878724292
10,3,0.3,0.8,serial_dictatorship,4,0,inf,0.00017180500435642898
10,3,0.3,0.8,hffd,0,1,-0.7278908399084116,0.0019810219964710996
10,3,0.3,0.8,hffd,1,1,-0.2665571807133347,0.0017086890002246946
10,3,0.3,0.8,hffd,2,1,-0.2023428985100395,0.0014596779947169125
10,3,0.3,0.8,hffd,3,1,-0.4310677629470945,0.001651385988225229
10,3,0.3,0.8,hffd,4,1,-0.0017229023872573634,0.0011232959950575605
10,3,0.3,1.0,round_robin,0,0,inf,0.00018131599063053727
10,3,0.3,1.0,round_robin,1,0,inf,0.00017600800492800772
10,3,0.3,1.0,round_robin,2,0,inf,0.0001600419927854091
10,3,0.3,1.0,round_robin,3,0,inf,0.00020121398847550154
10,3,0.3,1.0,round_robin,4,0,inf,0.0001780599995981902
10,3,0.3,1.0,serial_dictatorship,0,0,inf,0.0002111610083375126
10,3,0.3,1.0,serial_dictatorship,1,0,inf,0.000201212998945266
10,3,0.3,1.0,serial_dictatorship,2,0,inf,0.00026301700563635677
10,3,0.3,1.0,serial_dictatorship,3,0,inf,0.00018682799418456852
10,3,0.3,1.0,serial_dictatorship,4,0,inf,0.0002762770018307492
10,3,0.3,1.0,hffd,0,1,-0.004405177174930941,0.0010855720029212534
10,3,0.3,1.0,hffd,1,1,-0.1538098065810516,0.0011063030106015503
10,3,0.3,1.0,hffd,2,1,-0.7459744162086679,0.000995463997242041
10,3,0.3,1.0,hffd,3,1,-0.575893008371537,0.0011399439972592518
10,3,0.3,1.0,hffd,4,1,-1.4299679944375612,0.0009888360073091462
10,3,0.3,1.2,round_robin,0,0,inf,0.00019879100727848709
10,3,0.3,1.2,round_robin,1,0,inf,0.00018475399701856077
10,3,0.3,1.2,round_robin,2,0,inf,0.00019353900279384106
10,3,0.3,1.2,round_robin,3,0,inf,0.00020127600873820484
10,3,0.3,1.2,round_robin,4,0,inf,0.00019334799435455352
10,3,0.3,1.2,serial_dictatorship,0,0,inf,0.00018537598953116685
10,3,0.3,1.2,serial_dictatorship,1,0,inf,0.00019193299522157758
10,3,0.3,1.2,serial_dictatorship,2,0,inf,0.0001810510002542287
10,3,0.3,1.2,serial_dictatorship,3,0,inf,0.00021823499992024153
10,3,0.3,1.2,serial_dictatorship,4,0,inf,0.00017661099263932556
10,3,0.3,1.2,hffd,0,1,-0.1923307290884395,0.0018545210041338578
10,3,0.3,1.2,hffd,1,1,-0.39900839572101177,0.0014212600071914494
10,3,0.3,1.2,hffd,2,1,-0.13826235211706717,0.0012040919973514974
10,3,0.3,1.2,hffd,3,1,-0.29680615592377535,0.0013751759979641065
10,3,0.3,1.2,hffd,4,1,-0.4509027304958124,0.001135140992118977
10,6,0.0,0.8,round_robin,0,0,inf,0.000180286995600909
10,6,0.0,0.8,round_robin,1,0,inf,0.00021411299530882388
10,6,0.0,0.8,round_robin,2,0,inf,0.00021255500905681401
10,6,0.0,0.8,round_robin,3,0,inf,0.0002068579924525693
10,6,0.0,0.8,round_robin,4,0,inf,0.00031475600553676486
10,6,0.0,0.8,serial_dictatorship,0,0,inf,0.0001871959975687787
10,6,0.0,0.8,serial_dictatorship,1,0,inf,0.0001936859916895628
10,6,0.0,0.8,serial_dictatorship,2,0,inf,0.00021223801013547927
10,6,0.0,0.8,serial_dictatorship,3,0,inf,0.00017446100537199527
10,6,0.0,0.8,serial_dictatorship,4,0,inf,0.00034102200879715383
10,6,0.0,0.8,hffd,0,1,-0.32000000000005,0.0025669530004961416
10,6,0.0,0.8,hffd,1,1,-0.7600000000000477,0.0022884820064064115
10,6,0.0,0.8,hffd,2,1,-0.28000000000002956,0.00243864901131019
10,6,0.0,0.8,hffd,3,1,-0.5999999999999943,0.002274896003655158
10,6,0.0,0.8,hffd,4,1,-0.9200000000000159,0.00212772999657318
10,6,0.0,1.0,round_robin,0,0,inf,0.00018504301260691136
10,6,0.0,1.0,round_robin,1,0,inf,0.00019235799845773727
10,6,0.0,1.0,round_robin,2,0,inf,0.00018788399756886065
10,6,0.0,1.0,round_robin,3,0,inf,0.0001717510021990165
10,6,0.0,1.0,round_robin,4,0,inf,0.00020090400357730687
10,6,0.0,1.0,serial_dictatorship,0,0,inf,0.0002544489980209619
10,6,0.0,1.0,serial_dictatorship,1,0,inf,0.0001908370031742379
10,6,0.0,1.0,serial_dictatorship,2,0,inf,0.00020807200053241104
10,6,0.0,1.0,serial_dictatorship,3,0,inf,0.00023844800307415426
10,6,0.0,1.0,serial_dictatorship,4,0,inf,0.00019255699589848518
10,6,0.0,1.0,hffd,0,1,-0.39999999999997726,0.0021806799923069775
10,6,0.0,1.0,hffd,1,1,-0.19999999999998863,0.0023789630067767575
10,6,0.0,1.0,hffd,2,1,-0.10000000000002274,0.002560922992415726
10,6,0.0,1.0,hffd,3,1,-0.5,0.0025505400117253885
10,6,0.0,1.0,hffd,4,1,-0.8999999999999773,0.0024829400063026696
10,6,0.0,1.2,round_robin,0,0,inf,0.00020314099674578756
10,6,0.0,1.2,round_robin,1,0,inf,0.0001792010007193312
10,6,0.0,1.2,round_robin,2,0,inf,0.00038419199700001627
10,6,0.0,1.2,round_robin,3,0,inf,0.00021833500068169087
10,6,0.0,1.2,round_robin,4,0,inf,0.00018943600298371166
10,6,0.0,1.2,serial_dictatorship,0,0,inf,0.0001797989971237257
10,6,0.0,1.2,serial_dictatorship,1,0,inf,0.0001872709981398657
10,6,0.0,1.2,serial_dictatorship,2,0,inf,0.00020302899065427482
10,6,0.0,1.2,serial_dictatorship,3,0,inf,0.0003462509921519086
10,6,0.0,1.2,serial_dictatorship,4,0,inf,0.00022711600468028337
10,6,0.0,1.2,hffd,0,1,-0.47999999999996135,0.0023145949962781742
10,6,0.0,1.2,hffd,1,1,-0.6399999999999864,0.0023864989925641567
10,6,0.0,1.2,hffd,2,1,-0.9199999999999591,0.0022607010032515973
10,6,0.0,1.2,hffd,3,1,-0.39999999999997726,0.0021522180031752214
10,6,0.0,1.2,hffd,4,1,-0.8799999999999955,0.0023190479987533763
10,6,0.3,0.8,round_robin,0,0,inf,0.00020228100765962154
10,6,0.3,0.8,round_robin,1,0,inf,0.00021083799947518855
10,6,0.3,0.8,round_robin,2,0,inf,0.0002019480016315356
10,6,0.3,0.8,round_robin,3,0,inf,0.0002013729972532019
10,6,0.3,0.8,round_robin,4,0,inf,0.0001921319926623255
10,6,0.3,0.8,serial_dictatorship,0,0,inf,0.00021712300076615065
10,6,0.3,0.8,serial_dictatorship,1,0,inf,0.0002113699883921072
10,6,0.3,0.8,serial_dictatorship,2,0,inf,0.00026319699827581644
10,6,0.3,0.8,serial_dictatorship,3,0,inf,0.00019137500203214586
10,6,0.3,0.8,serial_dictatorship,4,0,inf,0.00023046700516715646
10,6,0.3,0.8,hffd,0,1,-0.12760434952679134,0.0024652809952385724
10,6,0.3,0.8,hffd,1,1,-0.731849662276943,0.0045531799987656996
10,6,0.3,0.8,hffd,2,1,-0.6658991385598938,0.0025987449917010963
10,6,0.3,0.8,hffd,3,1,-0.40183679945187123,0.002318918996024877
10,6,0.3,0.8,hffd,4,1,-0.3732499835900853,0.002434608992189169
10,6,0.3,1.0,round_robin,0,0,inf,0.00018924799223896116
10,6,0.3,1.0,round_robin,1,0,inf,0.0002227829972980544
10,6,0.3,1.0,round_robin,2,0,inf,0.0002606110065244138
10,6,0.3,1.0,round_robin,3,0,inf,0.00022294899099506438
10,6,0.3,1.0,round_robin,4,0,inf,0.0002108490007231012
10,6,0.3,1.0,serial_dictatorship,0,0,inf,0.0001976530038518831
10,6,0.3,1.0,serial_dictatorship,1,0,inf,0.00018031599756795913
10,6,0.3,1.0,serial_dictatorship,2,0,inf,0.0002995489921886474
10,6,0.3,1.0,serial_dictatorship,3,0,inf,0.00024026799655985087
10,6,0.3,1.0,serial_dictatorship,4,0,inf,0.00018476600234862417
10,6,0.3,1.0,hffd,0,1,-0.10935098204794258,0.002328653004951775
10,6,0.3,1.0,hffd,1,1,-0.9670907138673215,0.002303026005392894
10,6,0.3,1.0,hffd,2,1,-0.06548025679080638,0.0023544439900433645
10,6,0.3,1.0,hffd,3,1,-0.7646334103441177,0.002427867002552375
10,6,0.3,1.0,hffd,4,1,-1.3525367431686277,0.0023589990014443174
10,6,0.3,1.2,round_robin,0,0,inf,0.00022607999562751502
10,6,0.3,1.2,round_robin,1,0,inf,0.0002344310050830245
10,6,0.3,1.2,round_robin,2,0,inf,0.00020308300736360252
10,6,0.3,1.2,round_robin,3,0,inf,0.00018683999951463193
10,6,0.3,1.2,round_robin,4,0,inf,0.00032257300335913897
10,6,0.3,1.2,serial_dictatorship,0,0,inf,0.0002370910078752786
10,6,0.3,1.2,serial_dictatorship,1,0,inf,0.00019890899420715868
10,6,0.3,1.2,serial_dictatorship,2,0,inf,0.00024545199994463474
10,6,0.3,1.2,serial_dictatorship,3,0,inf,0.00025991299480665475
10,6,0.3,1.2,serial_dictatorship,4,0,inf,0.00021723700047004968
10,6,0.3,1.2,hffd,0,1,-0.9510545252952625,0.002234801009763032
10,6,0.3,1.2,hffd,1,1,-0.3332824460012489,0.0022480420011561364
10,6,0.3,1.2,hffd,2,1,-2.119698405837994,0.0025793709937715903
10,6,0.3,1.2,hffd,3,1,-0.08078188245411866,0.002408326996373944
10,6,0.3,1.2,hffd,4,1,-0.25897692793842,0.0022112219885457307
20,3,0.0,0.8,round_robin,0,0,inf,0.00027196400333195925
20,3,0.0,0.8,round_robin,1,0,inf,0.00018841899873223156
20,3,0.0,0.8,round_robin,2,0,inf,0.0002985620085382834
20,3,0.0,0.8,round_robin,3,0,inf,0.00022027200611773878
20,3,0.0,0.8,round_robin,4,0,inf,0.000878460006788373
20,3,0.0,0.8,serial_dictatorship,0,0,inf,0.00022180299856700003
20,3,0.0,0.8,serial_dictatorship,1,0,inf,0.0002068089961539954
20,3,0.0,0.8,serial_dictatorship,2,0,inf,0.00024223900982178748
20,3,0.0,0.8,serial_dictatorship,3,0,inf,0.00021986200590617955
20,3,0.0,0.8,serial_dictatorship,4,0,inf,0.00026972900377586484
20,3,0.0,0.8,hffd,0,1,-0.160000000000025,0.0055258310021599755
20,3,0.0,0.8,hffd,1,1,-0.8800000000000239,0.006381048006005585
20,3,0.0,0.8,hffd,2,1,-0.6400000000000148,0.006444523998652585
20,3,0.0,0.8,hffd,3,1,-0.7999999999999972,0.0056031580024864525
20,3,0.0,0.8,hffd,4,1,-0.960000000000008,0.005359773989766836
20,3,0.0,1.0,round_robin,0,0,inf,0.00020293699344620109
20,3,0.0,1.0,round_robin,1,0,inf,0.00022129299759399146
20,3,0.0,1.0,round_robin,2,0,inf,0.00022283600992523134
20,3,0.0,1.0,round_robin,3,0,inf,0.00020699600281659514
20,3,0.0,1.0,round_robin,4,0,inf,0.00022204099514055997
20,3,0.0,1.0,serial_dictatorship,0,0,inf,0.00020430200675036758
20,3,0.0,1.0,serial_dictatorship,1,0,inf,0.00020912601030431688
20,3,0.0,1.0,serial_dictatorship,2,0,inf,0.00021624400687869638
20,3,0.0,1.0,serial_dictatorship,3,0,inf,0.00020024299737997353
20,3,0.0,1.0,serial_dictatorship,4,0,inf,0.00018510200607124716
20,3,0.0,1.0,hffd,0,1,-0.19999999999998863,0.005660091002937406
20,3,0.0,1.0,hffd,1,1,-0.5999999999999943,0.005560820995015092
20,3,0.0,1.0,hffd,2,1,-0.05000000000001137,0.006928532005986199
20,3,0.0,1.0,hffd,3,1,-0.25,0.005755078993388452
20,3,0.0,1.0,hffd,4,1,-0.9499999999999886,0.006197918992256746
20,3,0.0,1.2,round_robin,0,0,inf,0.0002324759989278391
20,3,0.0,1.2,round_robin,1,0,inf,0.00025523400108795613
20,3,0.0,1.2,round_robin,2,0,inf,0.0002179669972974807
20,3,0.0,1.2,round_robin,3,0,inf,0.00021899900457356125
20,3,0.0,1.2,round_robin,4,0,inf,0.00020654000400099903
20,3,0.0,1.2,serial_dictatorship,0,0,inf,0.0001997600047616288
20,3,0.0,1.2,serial_dictatorship,1,0,inf,0.0003522509941831231
20,3,0.0,1.2,serial_dictatorship,2,0,inf,0.0002221910108346492
20,3,0.0,1.2,serial_dictatorship,3,0,inf,0.00023365400556940585
20,3,0.0,1.2,serial_dictatorship,4,0,inf,0.00021194599685259163
20,3,0.0,1.2,hffd,0,1,-0.23999999999998067,0.005512551011634059
20,3,0.0,1.2,hffd,1,1,-0.3199999999999932,0.005524410997168161
20,3,0.0,1.2,hffd,2,1,-0.45999999999997954,0.005937139998422936
20,3,0.0,1.2,hffd,3,1,-0.6999999999999886,0.00550405599642545
20,3,0.0,1.2,hffd,4,1,-0.9399999999999977,0.005318039999110624
20,3,0.3,0.8,round_robin,0,0,inf,0.00019991499721072614
20,3,0.3,0.8,round_robin,1,0,inf,0.00030861099367029965
20,3,0.3,0.8,round_robin,2,0,inf,0.00025413000548724085
20,3,0.3,0.8,round_robin,3,0,inf,0.0002729480038397014
20,3,0.3,0.8,round_robin,4,0,inf,0.00019309799245093018
20,3,0.3,0.8,serial_dictatorship,0,0,inf,0.0001840210024965927
20,3,0.3,0.8,serial_dictatorship,1,0,inf,0.00018905299657490104
20,3,0.3,0.8,serial_dictatorship,2,0,inf,0.0004241249989718199
20,3,0.3,0.8,serial_dictatorship,3,0,inf,0.0002462959964759648
20,3,0.3,0.8,serial_dictatorship,4,0,inf,0.00020269300148356706
20,3,0.3,0.8,hffd,0,1,-0.18190328465161087,0.005697574000805616
20,3,0.3,0.8,hffd,1,1,-0.10160092944914823,0.006772395994630642
20,3,0.3,0.8,hffd,2,1,-0.08993122356471872,0.005610601001535542
20,3,0.3,0.8,hffd,3,1,-0.03186710655809577,0.006223739997949451
20,3,0.3,0.8,hffd,4,1,-0.04578097644341028,0.006189004008774646
20,3,0.3,1.0,round_robin,0,0,inf,0.00018708800780586898
20,3,0.3,1.0,round_robin,1,0,inf,0.0002030850009759888
20,3,0.3,1.0,round_robin,2,0,inf,0.00022997500491328537
20,3,0.3,1.0,round_robin,3,0,inf,0.0001937850029207766
20,3,0.3,1.0,round_robin,4,0,inf,0.00023577299725729972
20,3,0.3,1.0,serial_dictatorship,0,0,inf,0.00024080000002868474
20,3,0.3,1.0,serial_dictatorship,1,0,inf,0.00018614900182001293
20,3,0.3,1.0,serial_dictatorship,2,0,inf,0.0002071839990094304
20,3,0.3,1.0,serial_dictatorship,3,0,inf,0.0003475099947536364
20,3,0.3,1.0,serial_dictatorship,4,0,inf,0.00022203900152817369
20,3,0.3,1.0,hffd,0,1,-0.019213011090982945,0.005783564993180335
20,3,0.3,1.0,hffd,1,1,-0.05334509750258576,0.00605808399268426
20,3,0.3,1.0,hffd,2,1,-0.7254279628146492,0.005676903005223721
20,3,0.3,1.0,hffd,3,1,-0.3252293710082199,0.005171735989279114
20,3,0.3,1.0,hffd,4,1,-0.20169918339868786,0.005641712996293791
20,3,0.3,1.2,round_robin,0,0,inf,0.0004452090070117265
20,3,0.3,1.2,round_robin,1,0,inf,0.00035890100116375834
20,3,0.3,1.2,round_robin,2,0,inf,0.00020489101007115096
20,3,0.3,1.2,round_robin,3,0,inf,0.0002335739991394803
20,3,0.3,1.2,round_robin,4,0,inf,0.00021429899788927287
20,3,0.3,1.2,serial_dictatorship,0,0,inf,0.00020598700211849064
20,3,0.3,1.2,serial_dictatorship,1,0,inf,0.0003675379994092509
20,3,0.3,1.2,serial_dictatorship,2,0,inf,0.00023070799943525344
20,3,0.3,1.2,serial_dictatorship,3,0,inf,0.0001951669983100146
20,3,0.3,1.2,serial_dictatorship,4,0,inf,0.00018730199371930212
20,3,0.3,1.2,hffd,0,1,-0.07423775289831269,0.00563012900238391
20,3,0.3,1.2,hffd,1,1,-0.051918623765800476,0.006659534992650151
20,3,0.3,1.2,hffd,2,1,-0.22128960979091516,0.006154671995318495
